Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-01-31 20:00,2023-01-31 21:00,TRUE,0248 St George & Broadway,0557 30th & Ontario,365 Corporate Standard,3076,584,0,4,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0106 Heather & 14th,0073 Ontario & 5th,365 Day Founding Standard,1890,351,0,4,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0232 Britannia Parking Lot,0228 Keefer & Hawks,365 Day Pass Plus,1582,488,3,5,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0076 Cypress & 4th,0192 7th &  Alder,365 Day Pass Standard,1613,551,4,5,0,0
2023-01-31 20:00,2023-01-31 21:00,FALSE,0110 5th & Arbutus,0084 Beach & Broughton,365 Corporate Standard,3167,1015,4,5,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0217 Smithe & Burrard,0161 Alexander & Dunlevy,365 Day Pass Standard SALE,2675,874,5,7,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0011 Ontario & Seawall,0057 Marinaside & Cooperage,365 Corporate Standard,1688,485,4,6,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0410 Alma & Point Grey,0440 Point Grey & Blenheim,Pay Per Ride,661,349,4,3,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0261 8th & Fraser,0198 5th & Main,365 Corporate Standard Renewal,1170,208,2,6,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0193 Science World,0004 Yaletown-Roundhouse Station,365 Day Pass Standard,1913,459,3,6,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0193 Science World,0011 Ontario & Seawall,365 Day Pass Standard,2623,1280,4,6,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0230 Alexander & Railway,0213 Pender & Gore,365 Corporate Plus Renewal,851,293,4,5,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0035 Hastings & Broughton,0035 Hastings & Broughton,365 Day Pass Standard,0,185,0,-3,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0082 Richards & Davie,0060 Bidwell & Burnaby,365 Day Pass Standard,1970,555,4,5,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0044 Pacific & Richards,0082 Richards & Davie,365 Day Pass Plus,328,129,6,4,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0171 Yukon & 6th,0027 Beatty & Nelson,365 Corporate Standard,1458,321,1,5,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0232 Britannia Parking Lot,0225 McLean & Pender,Community Pass,696,233,4,5,0,0
2023-01-31 20:00,2023-01-31 21:00,FALSE,0410 Alma & Point Grey,0440 Point Grey & Blenheim,Pay Per Ride,665,2986,4,3,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0103 Stanley Park - Third Beach Parking Lot,0173 Columbia & 1st,365 Corporate Plus,8282,1779,2,7,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0089 Burrard & Drake,0004 Yaletown-Roundhouse Station,365 Day Founding Standard,906,219,5,7,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0300 Bute & Barclay,0088 Harwood & Bute,30 Day Pass,757,265,4,3,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0112 10th & Oak,0071 14th & Granville,365 Day Pass Plus,1417,414,0,-3,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0177 Quebec & 1st,0260 10th & Fraser,30 Day Pass,1959,645,1,-1,13,1
2023-01-31 20:00,2023-01-31 20:00,FALSE,0017 Marinaside & Davie,0233 Thornton & National,Pay Per Ride,0,745,4,1,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0017 Marinaside & Davie,0233 Thornton & National,365 Day Pass Standard,2238,764,5,6,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0073 Ontario & 5th,0297 6th & Prince Edward,Community Pass E-bike (PWD),835,419,1,4,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0008 8th & Ash,0174 1st & Manitoba,365 Day Pass Plus,1331,404,4,3,0,0
2023-01-31 20:00,2023-01-31 21:00,FALSE,0005 Dunsmuir & Beatty,0060 Bidwell & Burnaby,Pay Per Ride,4520,4987,4,2,3044,1
2023-01-31 20:00,2023-01-31 20:00,FALSE,0055 Keefer & Columbia,0177 Quebec & 1st,30 Day Pass,1114,295,4,6,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0044 Pacific & Richards,0170 8th & Yukon,30 Day Pass,2891,940,5,5,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0308 Seymour & Cordova,0228 Keefer & Hawks,365 Day Founding Standard,2259,551,0,4,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0217 Smithe & Burrard,0041 Cardero & Robson,365 Day Pass Plus SALE,1072,334,4,5,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0010 Stamps Landing,0174 1st & Manitoba,365 Day Pass Standard,1219,315,4,6,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0278 15th & Victoria (Trout Lake),0274 Victoria & 10th,365 Day Pass Plus,549,199,3,4,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0063 Robson & Granville,0089 Burrard & Drake,365 Day Pass Plus,1186,455,5,5,0,0
2023-01-31 20:00,2023-01-31 20:00,TRUE,0186 10th & Kingsway,0133 Ontario & 16th,365 Corporate Standard,1110,359,0,3,0,0
2023-01-31 20:00,2023-01-31 20:00,FALSE,0040 Cardero & Davie,0196 Hornby & Drake,365 Day Pass Standard,1315,485,4,5,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0218 Carrall & Seawall,0191 7th & Laurel,365 Corporate Standard Renewal,3142,794,4,5,0,0
2023-01-31 19:00,2023-01-31 20:00,TRUE,0206 8th & Scotia,0206 8th & Scotia,365 Corporate Standard Renewal,5039,1882,0,-2,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0223 Commercial & Adanac,0129 Richards & Robson,Pay Per Ride,3885,963,3,5,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0139 Burrard & 4th,0171 Yukon & 6th,365 Day Pass Standard,3271,628,4,6,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0126 Thurlow & Pendrell,0190 Melville & Bute,365 Corporate Standard,1129,376,4,6,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0130 Heather & 16th,0071 14th & Granville,365 Day Pass Standard,1627,463,3,5,0,0
2023-01-31 19:00,2023-01-31 20:00,TRUE,0079 Nelson & Richards,0166 Alder & 11th,365 Day Pass Standard,3104,583,2,5,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0034 Cordova & Bute,0057 Marinaside & Cooperage,365 Day Pass Standard,2577,724,4,7,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0136 David Lam Park - West,0057 Marinaside & Cooperage,365 Corporate Plus Renewal,1266,402,4,3,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0008 8th & Ash,0078 Nelson & Mainland,365 Corporate Plus,2027,562,4,6,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0245 Woodland & 10th,0170 8th & Yukon,365 Day Pass Plus,3634,1461,3,2,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0314 Rolston & Granville,0136 David Lam Park - West,365 Corporate Plus Renewal,564,150,0,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0032 Comox & Denman,0040 Cardero & Davie,365 Day Pass Standard,0,228,4,4,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0082 Richards & Davie,0134 14th & Main,365 Day Founding Standard,4318,1110,4,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0252 Woodland & Graveley,0254 Grandview & Commercial,Community Pass,935,220,3,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0036 Bute & Robson,0092 Chilco & Barclay,365 Day Pass Plus,1423,399,5,7,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0045 Beach & Hornby,0081 7th & Heather,365 Corporate Plus Renewal,3018,919,4,4,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0464 Trafalgar & Broadway,0452 8th & Macdonald,Community Pass E-bike (PWD),324,98,1,-2,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0011 Ontario & Seawall,0031 Morton & Denman,365 Corporate Standard,5443,1297,3,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0070 10th & Granville,0008 8th & Ash,365 Day Pass Plus,1884,615,4,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0019 Robson & Hornby,0030 Abbott & Cordova,30 Day Pass,0,315,4,4,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0063 Robson & Granville,0096 Nicola & Robson,365 Day Pass Plus,1345,386,5,7,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0050 Bute & Comox,0082 Richards & Davie,365 Day Pass Standard,1202,370,3,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0196 Hornby & Drake,0035 Hastings & Broughton,365 Day Pass Standard,2460,666,5,8,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0074 10th & Main,0202 14th & Oak,365 Day Pass Standard,0,720,4,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0258 13th & St George,0246 Glen & Broadway,Community Pass E-bike,1357,935,4,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0126 Thurlow & Pendrell,0147 Chestnut & McNicoll,365 Corporate Standard Renewal,2272,577,4,7,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0037 Hornby & Nelson,0005 Dunsmuir & Beatty,30 Day Pass,1541,1155,4,7,616,1
2023-01-31 19:00,2023-01-31 19:00,FALSE,0144 Wylie & 2nd,0148 Creekside Park North,30 Day Pass,1627,447,5,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0300 Bute & Barclay,0092 Chilco & Barclay,365 Day Pass Standard,0,397,4,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0050 Bute & Comox,0026 Beatty & Robson,365 Corporate Standard,1939,473,5,7,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0193 Science World,0010 Stamps Landing,365 Day Pass Plus,1511,418,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0110 5th & Arbutus,0464 Trafalgar & Broadway,Community Pass E-bike (PWD),1482,602,4,5,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0050 Bute & Comox,0092 Chilco & Barclay,365 Day Founding Standard,1380,238,0,-2,0,0
2023-01-31 19:00,2023-01-31 20:00,FALSE,0014 Canada Place,0092 Chilco & Barclay,365 Day Pass Plus,2650,1836,4,4,922,2
2023-01-31 19:00,2023-01-31 19:00,FALSE,0040 Cardero & Davie,0313 Nelson & Denman,Community Pass,0,187,4,4,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0154 Kitsilano Beach Park,0077 Vanier Park,365 Day Founding Standard,1147,280,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0036 Bute & Robson,0041 Cardero & Robson,365 Corporate Standard Renewal,612,188,4,4,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0037 Hornby & Nelson,0045 Beach & Hornby,365 Day Pass Standard,859,258,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0039 Helmcken & Burrard,0050 Bute & Comox,365 Day Founding Standard,555,172,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0129 Richards & Robson,0053 Keefer & Abbott,365 Day Pass Standard,1194,334,4,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0187 Bute & Davie,0030 Abbott & Cordova,365 Day Pass Standard,2613,878,4,7,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0071 14th & Granville,0108 1st & Chestnut,365 Day Pass Plus,2164,628,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0006 Olympic Village Station,0119 3rd & Quebec,Pay Per Ride,1200,362,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0107 8th & Ontario,0073 Ontario & 5th,365 Day Pass Standard,0,100,4,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0021 Cordova & Granville,0187 Bute & Davie,30 Day Pass,1999,774,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0074 10th & Main,0260 10th & Fraser,Pay Per Ride,935,341,-1,-3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0308 Seymour & Cordova,0092 Chilco & Barclay,30 Day Pass,3344,777,5,4,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0108 1st & Chestnut,0140 Burrard & 7th,365 Day Pass Standard,899,229,1,0,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0012 Dunsmuir & Richards,0005 Dunsmuir & Beatty,365 Day Pass Plus,426,147,4,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0016 Pender & Burrard,0011 Ontario & Seawall,365 Day Pass Standard,3085,634,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0030 Abbott & Cordova,0036 Bute & Robson,365 Corporate Plus Renewal,2231,899,3,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0045 Beach & Hornby,0122 Haro & Denman,Community Pass,2282,648,5,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0030 Abbott & Cordova,0036 Bute & Robson,365 Corporate Plus,2266,1229,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0036 Bute & Robson,0050 Bute & Comox,365 Day Pass Plus,403,111,0,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0053 Keefer & Abbott,0148 Creekside Park North,Community Pass,0,1005,4,8,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0072 14th & Cambie,0152 Arbutus Greenway & 14th,365 Day Pass Plus,2864,1254,3,4,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0161 Alexander & Dunlevy,0217 Smithe & Burrard,365 Day Pass Standard SALE,3065,825,4,7,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0218 Carrall & Seawall,0011 Ontario & Seawall,365 Day Pass Standard SALE,878,222,4,3,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0217 Smithe & Burrard,0096 Nicola & Robson,365 Day Pass Standard,850,253,0,-2,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0199 Georgia & Main,0187 Bute & Davie,365 Day Pass Standard,4702,1578,3,3,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0248 St George & Broadway,0172 10th & Columbia,365 Day Pass Standard,1247,316,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0233 Thornton & National,0227 Campbell & Hastings,Community Pass,1419,466,4,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0064 Expo & Smithe,0217 Smithe & Burrard,365 Day Pass Plus,1088,700,5,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0171 Yukon & 6th,0039 Helmcken & Burrard,365 Day Pass Plus,2683,1226,3,3,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0065 Cypress & Cornwall,0217 Smithe & Burrard,VIP,2177,566,1,5,0,0
2023-01-31 19:00,2023-01-31 19:00,TRUE,0065 Cypress & Cornwall,0443 Balaclava & 6th,365 Day Pass Standard,2599,579,1,-2,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0196 Hornby & Drake,0032 Comox & Denman,365 Day Pass Standard,0,575,4,4,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0012 Dunsmuir & Richards,0082 Richards & Davie,365 Day Pass Standard,1084,424,4,5,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0005 Dunsmuir & Beatty,0005 Dunsmuir & Beatty,365 Day Pass Plus,2127,1259,4,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0024 Hornby & Pender,0196 Hornby & Drake,365 Corporate Plus,1431,570,5,6,0,0
2023-01-31 19:00,2023-01-31 19:00,FALSE,0058 Richards & Smithe,0017 Marinaside & Davie,30 Day Pass,0,206,4,2,0,0
